Title,Price,Location,Bedrooms,Bathrooms,Surface
 Maison,450 000 ,Molenbeek-Saint-Jean,5,2,220 m²
 Maison,450 000 ,Bruxelles,5,4,280 m²
 Maison,450 000 ,Tubize,3,1,240 m²
 Maison,450 000 ,Tournai,4,2,288 m²
 Maison,450 000 ,Le coq,3,1,160 m²
 Maison,450 000 ,Dave,7,2,375 m²
 Duplex,450 000 ,Uccle,4,2,200 m²
 Appartement,450 000 ,Gand,2,1,100 m²
 Maison,450 000 ,Braine-L'Alleud,5,2,195 m²
 Maison,450 000 ,Lillois-Witterzée,5,2,195 m²
 Villa,450 000 ,Langemark-Poelkapelle,1,1,355 m²
 Penthouse,450 000 ,Anvers,3,1,132 m²
 Maison quatre façades,450 000 ,Bekegem,3,1,165 m²
 Maison,450 000 ,Thuin,5,1,350 m²
 Maison,450 000 ,Wemmel,4,1,225 m²
 Maison,450 000 ,Souvret,4,3,300 m²
 Maison,450 000 ,Neder-Over-Heembeek,3,1,110 m²
 Maison bel étage,450 000 ,Molenbeek-Saint-Jean,3,1,150 m²
 Appartement,450 000 ,Bruxelles,2,1,90 m²
 Maison,450 000 ,Ename,5,2,186 m²
 Maison,450 000 ,Anderlecht,5,4,230 m²
 Penthouse,450 000 ,Anvers,3,1,132 m²
 Maison,450 000 ,Lasne,2,1,125 m²
 Appartement,450 000 ,Uccle,2,1,115 m²
 Maison,450 000 ,Biesme-Sous-Thuin,5,1,350 m²
 Ferme,450 000 ,Trois-Ponts,5,3,194 m²
 Appartement,450 000 ,Ixelles,2,1,95 m²
 Maison,450 000 ,Wavre,3,1,123 m²
 Maison,450 000 ,Courtrai,3,1,112 m²
 Maison,450 000 ,Angleur,4,1,150 m²
 Appartement,450 000 ,Mouscron,5,4,319 m²
 Appartement,450 000 ,Ostende,3,2,155 m²
 Maison de rangée,450 000 ,Sint-Andries,6,1,440 m²
 Appartement,450 000 ,Bruxelles,3,2,123 m²
 Maison,450 000 ,Mons-Lez-Liège,3,1,200 m²
 Duplex,450 000 ,Forest,2,1,220 m²
 Maison,450 000 ,Uccle,4,1,131 m²
 Appartement,450 000 ,Bruxelles,3,1,118 m²
 Maison,450 000 ,Wavre,3,1,104 m²
 Maison,450 000 ,Sterrebeek,3,1,200 m²
 Maison,450 000 ,Jambes,4,2,150 m²
 Maison,450 000 ,Ottignies,4,2,166 m²
 Maison,450 000 ,Uccle,3,1,131 m²
 Maison,450 000 ,Woluwe-Saint-Pierre,3,1,110 m²
 Maison,450 000 ,Lasne,3,2,178 m²
 Appartement,450 000 ,Uccle,3,2,110 m²
 Maison,450 000 ,La Hulpe,3,1,116 m²
 Appartement,450 000 ,Knocke-Heist,1,1,77 m²
 Appartement,450 000 ,La Panne,3,2,90 m²
 Maison,450 000 ,Rhode-Saint-Genèse,3,1,150 m²
 Maison Trois Façades,454 000 ,Nazareth,3,1,157 m²
 Appartement,454 346 ,Courtrai,2,1,133 m²
 Appartement,455 000 ,Gand,3,1,119 m²
 Maison,455 000 ,Mouscron,3,1,232 m²
 Appartement,455 000 ,Coxyde,4,2,135 m²
 Maison,455 000 ,Saint-Josse-Ten-Noode,5,3,180 m²
 Appartement,455 000 ,Hoeilaart,3,1,131 m²
 Maison quatre façades,455 000 ,Aywaille,4,1,153 m²
 Appartement,455 000 ,Aalter,2,2,161 m²
 Appartement,455 000 ,Ostende,2,2,130 m²
 Maison,455 000 ,Grammont,3,1,144 m²
 Maison,455 000 ,Soignies,4,2,192 m²
 Villa,456 167 ,Eernegem,3,1,183 m²
 Appartement,457 000 ,Gand,2,2,112 m²
 Maison,458 000 ,Sint-Joris,3,1,197 m²
 Appartement,459 000 ,Blanckenberghe,2,1,82 m²
 Maison quatre façades,459 000 ,Houtain-Saint-Siméon,3,1,150 m²
 Appartement rez-de-chaussée,459 000 ,Schaerbeek,3,1,117 m²
 Appartement,459 000 ,Namur,2,1,124 m²
 Appartement,459 000 ,Nieuport,3,1,103 m²
 Appartement,459 000 ,Saint-Idesbald,3,1,106 m²
 Appartement,459 000 ,Woluwe-Saint-Lambert,2,1,120 m²
 Villa,459 000 ,Klerken,3,1,824 m²
 Maison quatre façades,459 000 ,Wenduine,6,1,296 m²
 Villa,459 500 ,Thielt,3,1,199 m²
 Appartement,460 000 ,Ixelles,2,2,80 m²
 Appartement,460 000 ,Woluwe-Saint-Pierre,1,1,135 m²
 Maison,460 000 ,Bruges,3,2,205 m²
 Appartement,460 000 ,Woluwe-Saint-Pierre,3,1,150 m²
 Duplex,460 000 ,Gand,3,1,142 m²
 Appartement,460 000 ,Ixelles,3,1,145 m²
 Villa,460 000 ,Lasne,3,1,155 m²
 Villa,460 000 ,Le Roeulx,4,2,216 m²
 Maison,460 000 ,Nivelles,3,1,181 m²
 Maison,460 000 ,Nivelles,3,1,181 m²
 Maison,460 000 ,Ittre,3,1,181 m²
 Maison,460 000 ,Ittre,3,1,181 m²
 Maison Trois Façades,460 000 ,Bruxelles,2,1,154 m²
 Penthouse,460 000 ,Vielsalm,3,1,190 m²
 Maison,460 000 ,Boussu,4,1,461 m²
 Appartement,460 000 ,Woluwe-Saint-Lambert,2,2,118 m²
 Maison,460 000 ,Woluwe-Saint-Etienne,3,1,140 m²
 Maison bel étage,460 000 ,Linkebeek,4,1,210 m²
 Appartement,461 704 ,Middelkerke,3,1,101 m²
 Maison Trois Façades,462 500 ,Lebbeke,3,1,213 m²
 Maison,462 500 ,Aalter,3,1,153 m²
 Appartement,462 690 ,Tournai,3,1,167 m²
 Appartement,463 122 ,Courtrai,2,1,123 m²
 Appartement,465 000 ,Ixelles,2,1,95 m²
 Maison,465 000 ,Waterloo,4,2,185 m²
 Appartement,465 000 ,Waterloo,4,2,185 m²
 Maison Trois Façades,465 000 ,Baisy-Thy,3,1,358 m²
 Maison,465 000 ,Ganshoren,5,2,186 m²
 Maison,465 000 ,Ruisbroek,3,1,129 m²
 Maison,465 000 ,Audenbourg,3,1,347 m²
 Appartement,465 000 ,Westende,3,2,107 m²
 Maison,465 000 ,Ingelmunster,5,1,302 m²
 Penthouse,465 000 ,Uccle,3,2,100 m²
 Appartement,465 000 ,Coxyde,3,1,114 m²
 Maison,465 000 ,Meysse,4,2,240 m²
 Appartement,465 000 ,Woluwe-Saint-Lambert,3,2,130 m²
 Maison,465 000 ,Dilbeek,3,2,178 m²
 Maison,465 000 ,Forest,4,3,185 m²
 Duplex,465 000 ,Mortsel,3,1,135 m²
 Maison,465 000 ,Sars-La-Bruyère,7,1,341 m²
 Appartement,465 000 ,Gand,2,1,80 m²
 Maison,465 000 ,Schaerbeek,3,2,125 m²
 Appartement,465 000 ,Bruxelles,3,2,120 m²
 Immeuble à appartements,465 000 ,Forest,4,3,185 m²
 Appartement,465 000 ,Evere,3,2,136 m²
 Maison,465 000 ,Louvain-La-Neuve,3,2,110 m²
 Villa,465 000 ,Gozée,3,1,210 m²
 Appartement,465 000 ,La Panne,2,1,118 m²
 Maison,465 000 ,Wijnegem,1,1,178 m²
 Maison,465 000 ,Mouscron,5,5,212 m²
 Appartement,465 000 ,Uccle,3,2,125 m²
 Appartement,465 000 ,Ixelles,2,1,88 m²
 Maison,465 000 ,Braine-L'Alleud,4,2,192 m²
 Appartement,465 000 ,Ixelles,3,2,130 m²
 Maison,465 000 ,Braine-L'Alleud,3,1,120 m²
 Appartement,465 000 ,Auderghem,2,1,82 m²
 Maison,465 000 ,Waremme,5,1,223 m²
 Appartement,465 500 ,Jette,3,1,131 m²
 Maison,466 000 ,Pipaix,5,1,215 m²
 Appartement,467 000 ,Knesselare,3,1,120 m²
 Penthouse,467 500 ,Nazareth,3,2,140 m²
 Maison Trois Façades,468 000 ,Welle,4,2,228 m²
 Maison,469 000 ,Overijse,3,1,151 m²
 Maison quatre façades,469 000 ,Thimister-Clermont,4,1,281 m²
 Duplex,469 000 ,Westende,3,1,136 m²
 Maison Trois Façades,469 000 ,Anderlecht,5,2,210 m²
 Maison Trois Façades,469 000 ,Anderlecht,5,2,210 m²
 Maison,469 000 ,Hérinnes-Lez-Pecq,4,2,244 m²
 Maison,469 000 ,Vorselaar,5,1,248 m²
 Maison quatre façades,469 500 ,Machelen,2,1,150 m²
 Appartement,470 000 ,Uccle,3,2,115 m²
 Maison,470 000 ,Assebroek,5,1,230 m²
 Appartement rez-de-chaussée,470 000 ,Schaerbeek,2,1,105 m²
 Villa,470 000 ,Waterloo,3,1,120 m²
 Maison Trois Façades,470 000 ,Liège,7,1,328 m²
 Penthouse,470 000 ,Saint-Idesbald,2,1,89 m²
 Immeuble à appartements,470 000 ,Liège,5,2,150 m²
 Appartement,470 000 ,Etterbeek,2,2,90 m²
 Appartement,470 000 ,Bruxelles,2,2,90 m²
 Appartement,470 000 ,Bruxelles,2,1,88 m²
 Maison,473 000 ,Gand,2,2,128 m²
 Duplex,473 000 ,Gand,2,2,128 m²
 Villa,473 824 ,Ruddervoorde,3,1,228 m²
 Maison,474 500 ,Lobbes,5,2,321 m²
 Maison Trois Façades,475 000 ,Oostduinkerke,3,1,143 m²
 Maison,475 000 ,Oostakker,4,1,214 m²
 Appartement,475 000 ,Knocke-Heist,2,2,80 m²
 Maison,475 000 ,Braine-Le-Château,4,1,158 m²
 Appartement,475 000 ,Coxyde,3,2,102 m²
 Maison quatre façades,475 000 ,Leval-Trahegnies,6,2,330 m²
 Maison,475 000 ,Hoeilaart,3,1,130 m²
 Villa,475 000 ,Blanckenberghe,3,3,185 m²
 Appartement,475 000 ,Ostende,2,1,227 m²
 Loft,475 000 ,Jette,3,1,272 m²
 Maison de rangée,475 000 ,Zuyenkerque,4,1,256 m²
 Maison,475 000 ,Tournai,3,2,299 m²
 Appartement,475 000 ,Woluwe-Saint-Pierre,3,2,135 m²
 Maison Trois Façades,475 000 ,Aywaille,4,1,284 m²
 Maison,475 000 ,Braine-L'Alleud,3,2,195 m²
 Maison,475 000 ,Wemmel,3,1,233 m²
 Maison,475 000 ,Ename,5,2,188 m²
 Maison,475 000 ,Evere,5,1,249 m²
 Penthouse,475 000 ,Forest,2,1,135 m²
 Maison,475 000 ,Genappe,4,1,314 m²
 Maison,475 000 ,La Hestre,4,3,279 m²
 Appartement,475 000 ,Anvers,1,1,110 m²
 Villa,475 000 ,Varsenare,3,1,1868 m²
 Maison,475 000 ,Wavre,3,1,150 m²
 Appartement,475 000 ,Middelkerke,2,1,81 m²
 Maison,475 000 ,Mons,5,2,449 m²
 Maison quatre façades,475 000 ,Grembergen,1,1,350 m²
 Appartement,475 000 ,Waterloo,3,1,110 m²
 Appartement,475 000 ,Gand,1,1,81 m²
 Maison,475 000 ,Bruges,5,1,250 m²
 Villa,475 000 ,Eeklo,4,1,240 m²
 Appartement,475 000 ,Auderghem,3,2,97 m²
 Maison,475 000 ,Jette,4,2,170 m²
 Appartement,475 000 ,Woluwe-Saint-Pierre,3,1,150 m²
 Maison,475 000 ,Evere,3,1,160 m²
 Appartement,475 000 ,Ixelles,2,1,120 m²
 Appartement,475 000 ,Watermael-Boitsfort,2,2,151 m²
 Maison,475 000 ,Lasne,5,2,180 m²
