Title,Price,Location,Bedrooms,Bathrooms,Surface
 Appartement,162 000 ,Sint-Niklaas,2,1,75 m²
 Appartement rez-de-chaussée,162 000 ,Liège,2,1,69 m²
 Maison,162 500 ,Marcinelle,3,1,147 m²
 Appartement,162 500 ,Liège,1,1,63 m²
 Appartement,163 000 ,Mouscron,1,1,55 m²
 Appartement,163 000 ,Roulers,2,1,83 m²
 Maison,163 000 ,Blaton,3,1,110 m²
 Maison,164 000 ,Monceau-Sur-Sambre,2,1,121 m²
 Duplex,164 000 ,Deurne,2,1,85 m²
 Maison,164 000 ,Verviers,3,1,124 m²
 Appartement,164 000 ,Roulers,2,1,78 m²
 Maison,164 900 ,Lodelinsart,4,1,120 m²
 Maison,164 999 ,La Louvière,3,1,152 m²
 Maison,165 000 ,Boussu,3,1,102 m²
 Appartement,165 000 ,Middelkerke,2,1,71 m²
 Maison quatre façades,165 000 ,Péruwelz,4,1,126 m²
 Appartement,165 000 ,Binche,3,1,157 m²
 Maison,165 000 ,Binche,3,1,157 m²
 Maison,165 000 ,Mouscron,3,1,230 m²
 Appartement,165 000 ,Tournai,2,1,80 m²
 Appartement,165 000 ,Nijlen,1,1,48 m²
 Maison,165 000 ,Liège,3,3,142 m²
 Maison,165 000 ,Eernegem,1,1,48 m²
 Appartement,165 000 ,Tournai,2,1,113 m²
 Maison Trois Façades,165 000 ,Brasménil,5,1,148 m²
 Maison,165 000 ,Seraing,2,1,95 m²
 Maison,165 000 ,Ougrée,3,1,94 m²
 Maison,165 000 ,Aarsele,3,1,100 m²
 Maison de rangée,165 000 ,Thielt,4,1,123 m²
 Appartement,165 000 ,Aalter,1,1,40 m²
 Maison Trois Façades,165 000 ,Jupille-Sur-Meuse,2,1,105 m²
 Maison Trois Façades,165 000 ,Frameries,3,1,138 m²
 Appartement,165 000 ,Jette,2,1,73 m²
 Maison,165 000 ,Cerfontaine,3,1,192 m²
 Maison,165 000 ,Cerfontaine,3,1,192 m²
 Maison,165 000 ,Tournai,3,1,90 m²
 Maison,165 000 ,Olne,3,1,140 m²
 Maison,165 000 ,Trooz,3,1,140 m²
 Maison,165 000 ,Dottignies,2,1,113 m²
 Maison,165 000 ,Tournai,3,1,104 m²
 Maison,165 000 ,Mouscron,7,3,120 m²
 Appartement,165 000 ,Marcinelle,3,1,110 m²
 Maison,165 000 ,Charleroi,4,1,205 m²
 Maison,165 000 ,Herstal,1,1,63 m²
 Maison Trois Façades,165 000 ,Houyet,2,1,124 m²
 Appartement,165 000 ,Tournai,2,1,113 m²
 Appartement,165 000 ,Molenbeek-Saint-Jean,1,1,62 m²
 Maison,165 000 ,Dixmude,3,1,150 m²
 Maison,165 000 ,Frameries,3,1,160 m²
 Appartement,165 000 ,Ath,2,1,100 m²
 Appartement,165 000 ,Chapelle-Lez-Herlaimont,1,1,71 m²
 Maison,165 000 ,Boezinge,3,1,160 m²
 Maison,165 000 ,Mouscron,2,1,121 m²
 Maison,165 000 ,Jemappes,2,1,132 m²
 Maison,165 000 ,Herstal,2,1,110 m²
 Appartement,165 000 ,Liège,3,1,105 m²
 Maison,165 000 ,Esneux,3,1,150 m²
 Appartement,165 000 ,Bruxelles,1,1,60 m²
 Maison,165 000 ,Vielsalm,3,1,118 m²
 Appartement,165 000 ,Tournai,1,1,60 m²
 Maison Trois Façades,165 000 ,Cheratte,3,1,110 m²
 Péniche,165 000 ,Ypres,2,2,62 m²
 Appartement,165 000 ,Ostende,1,1,57 m²
 Maison,165 000 ,Herstal,4,1,165 m²
 Appartement,165 000 ,Anderlecht,1,1,65 m²
 Maison,165 000 ,Jemeppe-Sur-Meuse,3,2,105 m²
 Appartement,165 000 ,Rekkem,3,1,149 m²
 Appartement,165 000 ,Verviers,2,1,117 m²
 Appartement,165 000 ,Ghlin,2,1,67 m²
 Appartement,165 000 ,Waremme,2,1,66 m²
 Maison,165 000 ,Jumet,3,1,162 m²
 Maison,165 000 ,Pâturages,2,1,174 m²
 Appartement,165 000 ,Middelkerke,1,1,58 m²
 Maison,165 000 ,Ans,3,2,140 m²
 Maison,165 000 ,Leuze-En-Hainaut,4,1,171 m²
 Maison,165 000 ,Ressaix,5,2,265 m²
 Maison,165 000 ,Dour,2,1,167 m²
 Maison,165 000 ,Trazegnies,2,1,128 m²
 Appartement,165 000 ,Jupille-Sur-Meuse,3,1,84 m²
 Maison,165 000 ,Andenne,4,1,90 m²
 Maison,165 000 ,Grand-Leez,2,1,85 m²
 Appartement,165 000 ,Jette,1,1,58 m²
 Maison,165 000 ,Hal,2,1,100 m²
 Maison,165 000 ,Fayt-Lez-Manage,4,1,154 m²
 Appartement,165 000 ,Blanckenberghe,1,1,62 m²
 Maison quatre façades,165 000 ,Blégny,3,1,106 m²
 Appartement,165 000 ,Zellik,2,1,75 m²
 Appartement,165 000 ,Koekelberg,1,1,61 m²
 Appartement,165 000 ,Waremme,2,1,83 m²
 Appartement,165 000 ,Grivegnée,2,1,71 m²
 Appartement,165 000 ,Zelzate,2,1,72 m²
 Appartement,165 000 ,La Panne,1,1,65 m²
 Appartement,165 000 ,Ostende,2,1,104 m²
 Appartement,167 000 ,Ostende,2,1,68 m²
 Maison de rangée,167 000 ,Poperinghe,2,1,155 m²
 Appartement,167 000 ,Ixelles,1,1,36 m²
 Appartement,167 000 ,Anderlecht,1,1,58 m²
 Appartement,167 412 ,Anderlecht,1,1,63 m²
 Maison Trois Façades,167 500 ,Angleur,2,1,100 m²
 Appartement,167 500 ,Deinze,2,1,85 m²
 Maison,168 000 ,Stembert,3,2,209 m²
 Maison,168 000 ,Dison,4,1,193 m²
 Immeuble à appartements,168 000 ,Courtrai,4,1,175 m²
 Maison,168 000 ,Courtrai,4,1,175 m²
 Appartement,168 000 ,Mont-Sur-Marchienne,2,1,110 m²
 Maison Trois Façades,168 000 ,Montigny-Le-Tilleul,3,1,120 m²
 Maison,168 000 ,Gammerages,2,1,120 m²
 Maison,168 000 ,Bernissart,2,1,130 m²
 Appartement,168 000 ,Mouscron,2,1,83 m²
 Appartement,168 000 ,Angleur,2,1,72 m²
 Appartement,169 000 ,Anderlecht,1,1,67 m²
 Maison,169 000 ,Marcinelle,2,1,95 m²
 Appartement,169 000 ,Alost,2,1,90 m²
 Appartement,169 000 ,Ostende,2,1,82 m²
 Maison,169 000 ,Tournai,2,1,91 m²
 Appartement,169 000 ,Liège,2,1,75 m²
 Maison de rangée,169 000 ,Zuidschote,3,1,369 m²
 Maison,169 000 ,Mouscron,5,1,175 m²
 Appartement,169 000 ,Anvers,1,1,77 m²
 Appartement,169 000 ,Trooz,2,1,90 m²
 Appartement,169 000 ,Blanckenberghe,2,1,75 m²
 Maison,169 000 ,Anderlues,2,1,90 m²
 Appartement,169 000 ,Trooz,2,1,94 m²
 Appartement,169 000 ,Liège,2,1,52 m²
 Maison,169 000 ,Tamines,3,1,116 m²
 Maison,169 000 ,Mouscron,4,1,146 m²
 Maison,169 000 ,Ostende,2,1,86 m²
 Maison Trois Façades,169 000 ,Mont-De-L'Enclus,2,1,128 m²
 Maison,169 000 ,Mouscron,4,1,130 m²
 Appartement,169 000 ,Saint-Idesbald,1,1,50 m²
 Appartement,169 000 ,Beersel,1,1,80 m²
 Appartement,169 000 ,Huizingen,1,1,80 m²
 Maison,169 000 ,Mouscron,4,1,155 m²
 Maison,169 000 ,Andrimont,5,1,190 m²
 Appartement,169 000 ,Nieuport,1,1,41 m²
 Maison,169 000 ,Estaimpuis,3,2,192 m²
 Maison,169 000 ,Mouscron,4,1,133 m²
 Maison,169 000 ,Liège,4,1,110 m²
 Maison,169 000 ,Jumet,2,1,100 m²
 Maison,169 000 ,Liège,3,2,123 m²
 Maison Trois Façades,169 000 ,Angleur,4,2,210 m²
 Appartement,169 000 ,Uccle,1,1,62 m²
 Maison,169 000 ,Krombeke,5,1,230 m²
 Maison,169 000 ,Mouscron,2,1,163 m²
 Maison,169 000 ,Frasnes-Lez-Gosselies,4,1,210 m²
 Maison,169 000 ,Herseaux,3,1,101 m²
 Maison,169 000 ,Marchienne-Au-Pont,4,1,190 m²
 Appartement,169 000 ,Menin,2,1,74 m²
 Appartement,169 000 ,Anderlecht,2,1,72 m²
 Appartement,169 000 ,Bruxelles,1,1,38 m²
 Maison,169 000 ,Mouscron,3,1,144 m²
 Appartement,169 000 ,Tournai,2,1,95 m²
 Maison,169 000 ,Angleur,2,1,95 m²
 Appartement,169 000 ,Liège,2,3,83 m²
 Maison,169 000 ,Tournai,2,1,85 m²
 Appartement,169 000 ,Blanckenberghe,2,1,105 m²
 Maison,169 000 ,Marchienne-Au-Pont,3,1,79 m²
 Appartement,169 000 ,Liège,3,1,99 m²
 Appartement,169 000 ,Anderlecht,1,1,50 m²
 Maison Trois Façades,169 000 ,Roulers,3,1,137 m²
 Appartement,169 000 ,Blanckenberghe,1,1,43 m²
 Maison,169 000 ,Mouscron,3,1,150 m²
 Maison,169 000 ,Iddergem,2,1,85 m²
 Appartement,169 000 ,Iddergem,2,1,85 m²
 Appartement,169 000 ,Blanckenberghe,1,1,35 m²
 Appartement,169 000 ,Liège,1,1,67 m²
 Maison,169 000 ,Houdeng-Goegnies,3,1,172 m²
 Appartement,169 000 ,Angleur,2,1,70 m²
 Appartement rez-de-chaussée,169 000 ,Bruxelles,1,1,60 m²
 Appartement,169 000 ,Bruxelles,1,1,40 m²
 Maison,169 000 ,Bassenge,3,1,176 m²
 Maison,169 000 ,Herseaux,2,1,122 m²
 Appartement,169 000 ,Oupeye,2,1,79 m²
 Maison,169 000 ,Quaregnon,2,1,116 m²
 Maison,169 000 ,Houthulst,4,1,219 m²
 Maison,169 000 ,Jumet,3,1,123 m²
 Appartement,169 000 ,Saint-Gilles,1,1,45 m²
 Maison,169 000 ,Nieuport,3,1,160 m²
 Appartement,169 000 ,Anderlecht,2,1,70 m²
 Maison,169 000 ,Angleur,3,1,120 m²
 Maison,169 000 ,Liège,4,1,135 m²
 Maison,169 000 ,Blandain,3,1,192 m²
 Maison,169 000 ,Fleurus,3,1,155 m²
 Maison,169 000 ,Wonck,3,1,92 m²
 Maison,169 000 ,Comines,2,1,97 m²
 Maison,169 000 ,Auvelais,3,1,120 m²
 Appartement,169 000 ,Mouscron,2,1,96 m²
 Maison,169 000 ,Montignies-Sur-Sambre,3,1,115 m²
 Maison,169 000 ,Renaix,2,1,115 m²
 Maison Trois Façades,169 000 ,Eben-Emael,5,1,201 m²
 Appartement,169 000 ,Courtrai,2,1,68 m²
 Maison,169 000 ,Gand,1,1,60 m²
 Appartement,169 000 ,Blanckenberghe,1,1,63 m²
 Maison,169 500 ,Grivegnée,3,1,110 m²
