Title,Price,Location,Bedrooms,Bathrooms,Surface
 Appartement,189 500 ,Enghien,1,1,55 m²
 Maison,189 500 ,Liège,5,2,133 m²
 Maison,189 500 ,Seraing,3,2,105 m²
 Maison,189 500 ,Flémalle,3,1,110 m²
 Appartement,189 500 ,Hermée,1,1,66 m²
 Appartement,189 500 ,Anvers,1,1,39 m²
 Maison Trois Façades,189 500 ,Soignies,4,1,166 m²
 Appartement,189 500 ,Liège,2,1,84 m²
 Maison,189 500 ,Grâce-Hollogne,3,1,145 m²
 Maison,189 900 ,Ougrée,3,1,124 m²
 Maison,189 900 ,Saint-Nicolas,3,1,105 m²
 Maison,189 999 ,Trazegnies,3,1,157 m²
 Maison,189 999 ,Anderlues,3,1,143 m²
 Maison,189 999 ,Trazegnies,2,1,197 m²
 Maison,190 000 ,La Bouverie,3,1,132 m²
 Appartement,190 000 ,Saint-Gilles,1,1,60 m²
 Appartement,190 000 ,Bruxelles,1,1,60 m²
 Maison Trois Façades,190 000 ,Leval-Trahegnies,4,1,210 m²
 Appartement,190 000 ,Forest,1,1,68 m²
 Maison Trois Façades,190 000 ,Liège,4,1,166 m²
 Maison,190 000 ,Grâce-Hollogne,2,2,150 m²
 Appartement rez-de-chaussée,190 000 ,Nieuport,2,1,55 m²
 Maison,190 000 ,Villerot,2,1,140 m²
 Maison quatre façades,190 000 ,Wiers,4,1,165 m²
 Appartement,190 000 ,Schaerbeek,1,1,84 m²
 Maison,190 000 ,Lessines,3,1,168 m²
 Maison,190 000 ,Verviers,6,1,316 m²
 Maison,190 000 ,Ans,4,1,120 m²
 Appartement,190 000 ,Marcinelle,3,2,200 m²
 Appartement,190 000 ,Forest,3,1,80 m²
 Maison avec commerce,190 000 ,Verviers,5,1,262 m²
 Appartement,190 000 ,Verviers,2,1,75 m²
 Maison,190 000 ,Roulers,3,1,125 m²
 Maison,190 000 ,Vivegnis,2,1,146 m²
 Maison de rangée,190 000 ,Blanckenberghe,3,1,103 m²
 Maison,190 000 ,Lessines,3,1,115 m²
 Maison,190 000 ,Lessines,4,1,172 m²
 Maison,190 000 ,Châtelet,3,1,160 m²
 Appartement,190 000 ,Nivelles,2,1,86 m²
 Maison,190 000 ,Grâce-Hollogne,3,1,382 m²
 Appartement,190 000 ,Walhain,2,1,112 m²
 Maison Trois Façades,190 000 ,Walhain,2,1,112 m²
 Maison,190 000 ,Liège,4,3,170 m²
 Maison,190 000 ,Quaregnon,3,1,188 m²
 Maison quatre façades,190 000 ,Couillet,3,1,120 m²
 Maison quatre façades,190 000 ,Lobbes,2,1,110 m²
 Maison,190 000 ,Jemappes,1,1,88 m²
 Maison,190 000 ,Sars-La-Bruyère,6,1,215 m²
 Appartement,190 000 ,Quaregnon,2,1,98 m²
 Appartement,190 000 ,Celles,2,1,106 m²
 Maison,190 000 ,Grivegnée,2,1,90 m²
 Maison,190 000 ,Awans,2,1,90 m²
 Appartement,190 000 ,Walhain,3,2,145 m²
 Maison,190 000 ,Auvelais,2,1,115 m²
 Appartement,190 000 ,Vyle-Et-Tharoul,2,1,92 m²
 Maison,190 000 ,Jauche,3,1,114 m²
 Maison,190 000 ,Sirault,1,1,133 m²
