Title,Price,Location,Bedrooms,Bathrooms,Surface
 Maison,1 750 000 ,La Hulpe,6,4,480 m²
 Maison,1 750 000 ,Bernissart,6,2,750 m²
 Maison,1 750 000 ,Tervueren,2,2,337 m²
 Maison,1 750 000 ,Rhode-Saint-Genèse,4,3,340 m²
 Villa,1 750 000 ,Asse,4,3,435 m²
 Maison,1 750 000 ,Gand,9,9,325 m²
 Maison,1 750 000 ,Liège,22,15,876 m²
 Maison,1 750 000 ,Angleur,22,15,876 m²
 Maison,1 750 000 ,Rhode-Saint-Genèse,4,2,340 m²
 Maison,1 750 000 ,Tournai,6,4,750 m²
 Maison de maître,1 750 000 ,Ixelles,8,2,554 m²
 Maison,1 750 000 ,Rebecq,14,6,850 m²
 Appartement,1 780 000 ,Ixelles,4,4,333 m²
 Appartement,1 780 000 ,Saint-Gilles,4,4,333 m²
 Appartement,1 780 000 ,Saint-Gilles,4,4,333 m²
 Appartement,1 780 000 ,Ixelles,4,4,333 m²
 Appartement,1 780 000 ,Saint-Gilles,4,4,333 m²
 Maison,1 790 000 ,Haecht,8,3,500 m²
 Maison,1 790 000 ,Kraainem,5,4,548 m²
 Maison,1 790 000 ,Kraainem,5,4,600 m²
 Maison,1 790 000 ,Ixelles,4,3,537 m²
 Appartement,1 790 000 ,Ixelles,4,3,300 m²
 Maison,1 795 000 ,Lasne,5,4,550 m²
 Maison,1 795 000 ,Lasne-Chapelle-Saint-Lambert,5,2,475 m²
 Villa,1 795 000 ,Lasne,5,3,580 m²
 Maison,1 795 000 ,Duinbergen,4,4,155 m²
 Duplex,1 795 000 ,Knokke,3,2,177 m²
 Villa,1 800 000 ,Kraainem,5,3,412 m²
 Maison,1 800 000 ,Kraainem,5,5,454 m²
 Maison,1 800 000 ,Kraainem,5,5,454 m²
 Appartement,1 800 000 ,Uccle,2,1,375 m²
 Appartement,1 800 000 ,Uccle,2,1,396 m²
 Maison,1 800 000 ,Ostende,2,1,440 m²
 Appartement,1 800 000 ,Uccle,2,2,395 m²
 Appartement,1 800 000 ,Uccle,2,1,375 m²
 Maison,1 825 000 ,Woluwe-Saint-Pierre,4,4,380 m²
 Maison,1 825 000 ,Woluwe-Saint-Pierre,4,4,380 m²
 Appartement,1 830 000 ,Knokke,4,3,180 m²
 Flat,1 839 000 ,Ixelles,3,1,203 m²
 Appartement,1 850 000 ,Knocke-Heist,3,3,125 m²
 Appartement,1 850 000 ,Knocke-Heist,3,3,113 m²
 Appartement,1 850 000 ,Knocke-Heist,3,3,125 m²
 Maison de maître,1 850 000 ,Ixelles,6,2,368 m²
 Maison,1 850 000 ,Braine-L'Alleud,5,3,550 m²
 Maison,1 850 000 ,Forest,5,4,400 m²
 Appartement,1 850 000 ,Knocke-Heist,3,2,170 m²
 Maison,1 850 000 ,Grobbendonk,5,3,550 m²
 Maison,1 850 000 ,Bruxelles,4,4,468 m²
 Ferme,1 850 000 ,Ebly,4,2,320 m²
 Flat,1 850 000 ,Bruxelles,4,4,500 m²
 Appartement,1 850 000 ,Knocke-Heist,3,3,113 m²
 Appartement,1 850 000 ,Knokke,3,3,125 m²
 Appartement,1 850 000 ,Knocke-Heist,3,3,125 m²
 Maison,1 850 000 ,Uccle,4,4,360 m²
 Appartement,1 850 000 ,Knocke-Heist,3,3,125 m²
 Maison,1 850 000 ,Uccle,4,4,360 m²
 Villa,1 850 000 ,Uccle,5,2,383 m²
 Maison,1 850 000 ,Uccle,7,4,360 m²
 Maison,1 850 000 ,Tournai,7,2,1193 m²
 Maison,1 850 000 ,Estaimpuis,6,5,952 m²
 Villa,1 865 000 ,Uccle,4,3,250 m²
 Ferme,1 870 000 ,Néchin,6,3,600 m²
 Maison,1 875 000 ,Anvers,5,3,574 m²
 Villa,1 875 000 ,Heist-Aan-Zee,8,6,270 m²
 Appartement,1 885 000 ,Knocke-Heist,3,2,120 m²
 Appartement,1 890 000 ,Bruxelles,3,3,275 m²
 Maison,1 890 000 ,Ixelles,5,5,424 m²
 Appartement,1 890 000 ,Uccle,3,3,270 m²
 Maison,1 890 000 ,Mouscron,7,7,600 m²
 Maison quatre façades,1 895 000 ,Lasne,6,2,810 m²
 Maison,1 900 000 ,Gavere,5,3,759 m²
 Maison,1 900 000 ,Rhode-Saint-Genèse,4,1,344 m²
 Maison,1 900 000 ,Anderlecht,15,15,985 m²
 Maison,1 900 000 ,Ixelles,4,3,370 m²
 Maison,1 900 000 ,Bruxelles,4,7,516 m²
