Title,Price,Location,Bedrooms,Bathrooms,Surface
 Appartement,245 000 ,Coxyde,2,1,80 m²
 Maison,245 000 ,Oupeye,3,1,106 m²
 Appartement,245 000 ,La Panne,1,1,56 m²
 Maison,245 000 ,Anhée,3,1,150 m²
 Maison,245 000 ,Bruges,3,1,100 m²
 Appartement,245 000 ,Hal,2,1,90 m²
 Maison de rangée,245 000 ,Rijkevorsel,2,1,104 m²
 Maison,245 000 ,Boussu,3,1,152 m²
 Appartement,245 000 ,Woluwe-Saint-Lambert,1,1,54 m²
 Maison,245 000 ,Liège,5,2,175 m²
 Maison,245 000 ,Ville-Pommeroeul,5,1,300 m²
 Appartement,245 000 ,Saint-Gilles,1,1,61 m²
 Maison,245 000 ,Quenast,2,1,135 m²
 Maison,245 000 ,Tamines,3,1,110 m²
 Appartement,245 000 ,Enghien,2,1,112 m²
 Maison,245 000 ,Walcourt,3,2,160 m²
 Appartement,245 000 ,Hoves,2,1,112 m²
 Appartement,245 000 ,Oordegem,2,1,90 m²
 Appartement,245 000 ,Nieuport,2,1,51 m²
 Maison,245 000 ,Saint-Nicolas,3,1,130 m²
 Maison,245 000 ,Heule,3,1,154 m²
 Appartement,245 000 ,Schaerbeek,2,1,72 m²
 Maison,245 000 ,Soignies,2,1,130 m²
 Appartement,245 000 ,Woluwe-Saint-Pierre,1,1,51 m²
 Maison,245 000 ,Morialmé,4,1,242 m²
 Maison,245 000 ,Dampremy,6,3,230 m²
 Appartement,245 000 ,Alost,1,1,52 m²
 Maison,245 000 ,Waulsort,3,2,145 m²
 Appartement,245 000 ,Uccle,2,1,70 m²
 Appartement,245 000 ,Louvain-La-Neuve,1,1,55 m²
 Appartement,245 000 ,Bruxelles,1,2,58 m²
 Maison,245 000 ,Visé,3,1,141 m²
 Maison,245 000 ,Bruges,3,1,103 m²
 Duplex,245 000 ,Saint-Idesbald,1,1,53 m²
 Maison,245 000 ,Liège,4,1,125 m²
 Appartement,245 000 ,Schaerbeek,2,2,100 m²
 Maison quatre façades,245 000 ,Mortier,6,1,199 m²
 Appartement,245 000 ,Molenbeek-Saint-Jean,2,1,82 m²
 Maison quatre façades,245 000 ,Zwalin,4,1,200 m²
 Maison,245 000 ,Ligne,5,1,165 m²
 Villa,245 000 ,Gerpinnes,2,1,100 m²
 Maison de rangée,245 000 ,Ostende,4,1,150 m²
 Maison,245 000 ,Eupen,1,1,243 m²
 Appartement,245 000 ,Forest,2,1,90 m²
 Appartement,245 000 ,Liège,3,1,122 m²
 Maison Trois Façades,245 000 ,Lodelinsart,5,1,250 m²
 Appartement,245 000 ,Ostende,3,1,133 m²
 Maison de rangée,245 000 ,Bredene,3,1,180 m²
 Maison,245 000 ,Eupen,1,1,243 m²
 Appartement,245 000 ,Heist-Aan-Zee,2,1,62 m²
 Maison,245 000 ,Dour,7,1,252 m²
 Maison,245 000 ,Thuin,5,1,254 m²
 Immeuble à appartements,245 000 ,Thuin,5,1,254 m²
 Maison,245 000 ,Ougrée,3,1,115 m²
 Maison quatre façades,245 000 ,Bruges,1,1,60 m²
 Maison,245 000 ,Tournai,4,2,237 m²
 Maison,245 000 ,Wervicq,4,2,250 m²
 Appartement,245 000 ,Baelen,2,1,80 m²
 Appartement,245 000 ,Baelen,2,1,89 m²
 Appartement,245 000 ,Espierres-Helchin,2,1,117 m²
 Maison,245 000 ,Ampsin,4,1,180 m²
 Appartement,245 000 ,Molenbeek-Saint-Jean,2,1,100 m²
 Maison,245 000 ,Lauwe,3,1,135 m²
 Maison,245 000 ,Gand,2,1,60 m²
 Appartement,245 000 ,Bredene,3,1,100 m²
 Appartement,245 000 ,Flémalle-Grande,2,1,123 m²
 Appartement,245 000 ,Huy,2,1,96 m²
 Appartement,245 000 ,Huy,2,1,93 m²
 Appartement,245 000 ,Vyle-Et-Tharoul,3,1,113 m²
 Appartement,245 000 ,Iseghem,3,1,112 m²
 Appartement,245 000 ,Bredene,3,1,100 m²
 Appartement,245 000 ,Herve,4,4,234 m²
 Maison,245 000 ,Hoeilaart,2,1,110 m²
 Appartement,245 000 ,Le coq,2,1,57 m²
 Maison,245 000 ,Bernissart,3,1,96 m²
 Maison Trois Façades,245 000 ,Hal,2,1,113 m²
 Maison,245 000 ,Rumes,4,1,85 m²
 Appartement,245 000 ,Ixelles,1,1,55 m²
 Maison,245 000 ,Liège,5,4,180 m²
 Maison,245 000 ,Liège,5,4,180 m²
 Maison,245 000 ,Stembert,3,1,138 m²
 Maison,245 000 ,Villers-La-Ville,3,1,110 m²
 Appartement,245 000 ,Molenbeek-Saint-Jean,2,1,110 m²
 Appartement,245 000 ,Forest,3,1,125 m²
 Maison,245 000 ,Soignies,3,1,124 m²
 Appartement,245 000 ,Mons,2,1,85 m²
 Appartement,245 000 ,Ixelles,1,1,69 m²
 Maison,245 000 ,Ellezelles,3,2,150 m²
 Maison,245 000 ,Quiévrain,4,1,204 m²
 Maison,245 000 ,Marcinelle,6,1,254 m²
