Title,Price,Location,Bedrooms,Bathrooms,Surface
 Maison,785 000 ,Romsée,4,3,290 m²
 Appartement,785 000 ,Bruxelles,3,2,202 m²
 Appartement,785 000 ,Knocke-Heist,2,2,85 m²
 Appartement,785 000 ,Coxyde,3,2,170 m²
 Maison,785 000 ,Woluwe-Saint-Lambert,4,1,206 m²
 Maison,789 000 ,Dilbeek,4,1,250 m²
 Maison,790 000 ,Waterloo,4,2,223 m²
 Maison,790 000 ,Damme,3,1,226 m²
 Appartement,790 000 ,Auderghem,4,2,260 m²
 Maison,790 000 ,Saint-Josse-Ten-Noode,6,2,319 m²
 Maison,790 000 ,Saint-Josse-Ten-Noode,6,2,319 m²
 Maison,790 000 ,Saint-Gilles,4,4,280 m²
 Immeuble à appartements,790 000 ,Schaerbeek,4,3,210 m²
 Maison,790 000 ,Froyennes,3,1,220 m²
 Appartement,790 000 ,Uccle,3,3,150 m²
 Maison,790 000 ,Uccle,4,2,220 m²
 Maison,790 000 ,Profondeville,4,5,560 m²
 Maison,790 000 ,Rhode-Saint-Genèse,4,2,260 m²
 Appartement,790 000 ,Uccle,3,3,155 m²
 Appartement,790 000 ,Uccle,3,1,153 m²
 Appartement,790 000 ,Uccle,3,3,155 m²
 Maison,790 000 ,Wavre-sainte-catherine,5,1,275 m²
 Maison,795 000 ,Kraainem,6,2,225 m²
 Maison,795 000 ,Woluwe-Saint-Pierre,6,2,225 m²
 Maison,795 000 ,Overijse,4,2,350 m²
 Maison,795 000 ,Malines,5,1,270 m²
 Appartement,795 000 ,Knocke-Heist,2,1,72 m²
 Villa,795 000 ,Rhode-Saint-Genèse,5,2,260 m²
 Appartement,795 000 ,Nieuport,2,2,86 m²
 Maison,795 000 ,Uccle,3,2,238 m²
 Maison,795 000 ,Overijse,4,2,250 m²
 Maison,795 000 ,Wezembeek-Oppem,7,2,250 m²
 Maison,795 000 ,Wezembeek-Oppem,4,2,201 m²
 Maison,795 000 ,Uccle,4,2,150 m²
 Appartement,795 000 ,Uccle,3,1,172 m²
 Appartement,795 000 ,Heist-Aan-Zee,3,2,113 m²
 Maison,795 000 ,Uccle,4,1,297 m²
 Appartement,795 000 ,Ixelles,2,2,190 m²
 Maison,795 000 ,Oosterzele,7,1,4938 m²
 Appartement,795 000 ,Lasne,3,2,209 m²
 Maison,795 000 ,Couture-Saint-Germain,4,2,200 m²
 Appartement,795 000 ,Nieuport,1,1,68 m²
 Appartement,795 000 ,Lasne,3,2,209 m²
 Maison,795 000 ,Tournai,6,3,400 m²
 Appartement,795 000 ,Woluwe-Saint-Lambert,3,2,220 m²
 Maison,795 000 ,Tournai,6,3,500 m²
 Maison,795 000 ,Tournai,5,3,500 m²
 Appartement,795 000 ,Woluwe-Saint-Pierre,3,2,120 m²
 Maison,795 000 ,Uccle,4,2,280 m²
 Appartement,795 000 ,Heist-Aan-Zee,3,3,120 m²
 Appartement,795 000 ,Knocke-Heist,3,2,88 m²
 Ferme,795 000 ,Mortroux,9,1,418 m²
 Château,795 000 ,Walcourt,8,3,625 m²
 Maison,795 000 ,Mouscron,5,1,667 m²
 Penthouse,795 000 ,Knocke-Heist,2,1,60 m²
 Appartement,795 000 ,Knocke-Heist,2,1,60 m²
 Maison,795 000 ,Etterbeek,9,2,355 m²
 Maison,795 000 ,Forest,4,3,244 m²
 Maison,795 000 ,Forest,4,3,244 m²
 Maison,795 000 ,Woluwe-Saint-Pierre,4,2,194 m²
 Maison,795 000 ,Kraainem,6,3,245 m²
 Maison,795 000 ,Woluwe-Saint-Lambert,7,2,345 m²
 Maison,795 000 ,Woluwe-Saint-Pierre,5,3,214 m²
 Maison,795 000 ,Woluwe-Saint-Pierre,5,3,214 m²
 Maison,795 000 ,Woluwe-Saint-Pierre,3,1,190 m²
 Maison,795 000 ,Woluwe-Saint-Pierre,3,2,178 m²
 Maison,795 000 ,Louvain-La-Neuve,6,4,250 m²
 Maison,795 000 ,Louvain-La-Neuve,6,4,250 m²
 Maison,795 000 ,Rhode-Saint-Genèse,4,2,263 m²
 Appartement,795 000 ,Lasne,3,2,143 m²
 Maison,795 000 ,Lasne,5,1,300 m²
 Maison,795 000 ,Rixensart,4,2,230 m²
 Maison,795 000 ,Sint-Denijs-Westrem,3,2,200 m²
 Appartement,798 000 ,Anvers,3,2,170 m²
 Maison,799 000 ,Gand,4,2,180 m²
 Maison,799 000 ,Gand,4,2,186 m²
 Maison,799 000 ,Wemmel,3,3,280 m²
 Appartement,799 000 ,Ixelles,3,1,173 m²
 Maison,799 000 ,Ostende,3,1,2162 m²
 Maison de rangée,799 000 ,Middelkerke,6,2,335 m²
 Maison,799 000 ,Montleban,4,2,392 m²
 Maison,799 000 ,Namur,10,3,500 m²
 Appartement rez-de-chaussée,799 000 ,Waterloo,2,1,138 m²
 Villa,799 000 ,Wakken,4,2,505 m²
 Villa,799 000 ,Waterloo,5,1,216 m²
 Maison,799 000 ,Auderghem,5,1,227 m²
 Maison,799 000 ,Waterloo,5,3,236 m²
 Maison,799 000 ,Uccle,5,1,240 m²
 Villa,799 900 ,Wavre-sainte-catherine,3,1,185 m²
 Maison,800 000 ,Ransart,8,4,347 m²
 Appartement,800 000 ,Forest,3,2,227 m²
 Appartement,800 000 ,Forest,3,2,227 m²
 Maison,800 000 ,Anderlues,13,6,400 m²
 Maison,800 000 ,Wavre,5,2,350 m²
 Appartement,800 000 ,Ixelles,3,2,202 m²
 Maison,800 000 ,Alost,9,2,433 m²
 Appartement,800 000 ,Uccle,3,2,170 m²
 Maison,800 000 ,Lasne,8,2,350 m²
 Appartement,800 000 ,Knocke-Heist,4,2,140 m²
 Maison,815 000 ,Watermael-Boitsfort,5,2,275 m²
 Appartement,815 000 ,Knocke-Heist,3,2,92 m²
 Maison,815 000 ,Gand,3,2,173 m²
 Maison,815 000 ,Saint-Gilles,4,1,212 m²
 Maison,815 000 ,Bruxelles,5,2,214 m²
 Maison,820 000 ,Sterrebeek,4,1,260 m²
 Maison,820 000 ,Tournai,5,4,373 m²
