Floor,Kitchen type,Bedrooms,Bathrooms,Toilets,Office,Armored door,Primary energy consumption,Energy class,CO₂ emission,Heating type,Heat pump,Thermic solar panels,Double glazing,Monthly rental price,Monthly costs,Tenement building,price,listing_type,Number of floors,Number of frontages,Living area,Living room surface,Bedroom 1 surface,Bedroom 2 surface,Furnished,Terrace surface,Intercom,Visio phone,agency,Construction year,Building condition,Basement,Elevator,Accessible for disabled people,Secure access / alarm,TV cable,Swimming pool,Available as of,Kitchen surface,Shower rooms,Surroundings type,Zip_Code,State_Name
1.0,Installed,7.0,,7.0,No,No,,Not specified,,Gas,No,No,Yes,425.0,75.0,No,500.0,Student housing for rent,3.0,2.0,,28.0,12.0,15.0,,,Yes,No,,,Just renovated,Yes,No,No,No,No,No,Immediately,28.0,7.0,"Living area (residential, urban or rural)",1060,Saint-Gilles
1.0,USA semi equipped,1.0,1.0,1.0,Yes,Yes,226.0,E,,Gas,,,Yes,1200.0,150.0,No,1350.0,Apartment for rent,6.0,,77.0,,20.0,,No,,Yes,Yes,Nesting,,Good,Yes,Yes,No,,Yes,No,To be defined,,1.0,"Living area (residential, urban or rural)",1060,Saint-Gilles
5.0,USA hyper equipped,3.0,3.0,3.0,,Yes,326.0,F,51.0,Electric,,,Yes,3400.0,250.0,No,3650.0,Penthouse for rent,5.0,3.0,200.0,35.0,22.0,22.0,No,17.0,Yes,,You Real Estate,1990.0,As new,,Yes,No,,,No,Immediately,18.0,3.0,Isolated,1060,Saint-Gilles
2.0,Semi equipped,2.0,1.0,1.0,,,204.0,D,38.0,Gas,,,Yes,1150.0,100.0,No,1250.0,Apartment for rent,3.0,2.0,75.0,25.0,16.0,9.0,No,3.0,Yes,,Caron Real Estate,,Good,Yes,No,No,,,No,Immediately,8.0,,Countryside,1060,Saint-Gilles
,,5.0,3.0,3.0,,,446.0,G,89.0,Gas,,,Yes,2600.0,,No,,House for rent,,2.0,260.0,41.0,20.0,25.0,No,20.0,Yes,,Modifa Bruxelles,1930.0,As new,Yes,,,Yes,,,Depending on the tenant,14.0,3.0,,1060,Saint-Gilles
4.0,Hyper equipped,2.0,2.0,2.0,Yes,Yes,291.0,F,38.0,Gas,,,Yes,1750.0,250.0,No,2000.0,Apartment for rent,6.0,2.0,131.0,40.0,20.0,15.0,No,5.0,,,You Real Estate,1938.0,As new,Yes,Yes,No,,,No,To be defined,15.0,1.0,,1060,Saint-Gilles
6.0,USA hyper equipped,1.0,1.0,1.0,,Yes,359.0,G,72.0,Gas,,,Yes,1120.0,180.0,No,1300.0,Penthouse for rent,6.0,,70.0,35.0,17.0,,No,45.0,Yes,Yes,Caron Real Estate,1970.0,Just renovated,Yes,Yes,No,,Yes,No,Immediately,10.0,1.0,Urban,1060,Saint-Gilles
4.0,Hyper equipped,1.0,1.0,1.0,Yes,,255.0,E,51.0,Gas,,,Yes,1150.0,90.0,No,1240.0,Duplex for rent,5.0,,90.0,25.0,15.0,,Yes,,Yes,,Caron Real Estate,1911.0,Good,,Yes,No,,Yes,No,Depending on the tenant,10.0,1.0,Urban,1060,Saint-Gilles
1.0,Hyper equipped,3.0,1.0,1.0,,Yes,151.0,C,32.0,Gas,,,Yes,1450.0,50.0,No,1500.0,Apartment for rent,4.0,2.0,110.0,,,,No,3.0,,Yes,MONTOIS IMMOBILIER,2018.0,Good,Yes,Yes,,,Yes,,Immediately,,,"Living area (residential, urban or rural)",1060,Saint-Gilles
4.0,USA hyper equipped,2.0,1.0,1.0,,,271.0,E,54.0,Gas,,,Yes,1200.0,80.0,No,1280.0,Apartment for rent,5.0,,70.0,25.0,14.0,9.0,No,2.0,Yes,,JAM Properties,,Just renovated,Yes,Yes,Yes,,,No,,9.0,,,1060,Saint-Gilles
,Hyper equipped,5.0,4.0,5.0,Yes,Yes,158.0,D,31.0,Gas,,,Yes,5500.0,,No,,House for rent,,2.0,424.0,55.0,27.0,25.0,No,26.0,,Yes,You Real Estate,,As new,Yes,Yes,No,Yes,,No,Immediately,,4.0,,1060,Saint-Gilles
,,2.0,1.0,2.0,No,No,119.0,C,23.0,Gas,No,No,Yes,1750.0,75.0,No,1825.0,Apartment for rent,3.0,2.0,165.0,,,,No,,No,Yes,Pearl Immo,,As new,,No,No,No,Yes,No,After signing the deed,,1.0,,1060,Saint-Gilles
2.0,Hyper equipped,2.0,2.0,2.0,,,101.0,C,20.0,Gas,,,Yes,1270.0,150.0,No,1420.0,Apartment for rent,4.0,2.0,90.0,30.0,13.0,10.0,No,12.0,Yes,,JAM Properties,2018.0,As new,Yes,Yes,Yes,,Yes,No,Immediately,6.0,1.0,,1060,Saint-Gilles
6.0,Hyper equipped,1.0,1.0,2.0,No,No,109.0,C,23.0,Gas,No,No,Yes,1380.0,175.0,No,1555.0,Loft for rent,7.0,,100.0,,,,Yes,8.0,No,Yes,,2011.0,Just renovated,,Yes,No,No,No,No,Immediately,,,,1060,Saint-Gilles
,,4.0,2.0,2.0,No,No,,Not specified,,,No,No,Yes,2600.0,,No,,House for rent,,4.0,270.0,51.0,19.0,17.0,No,,No,Yes,Pearl Immo,,Good,,No,No,Yes,No,No,After signing the deed,10.0,1.0,,1060,Saint-Gilles
3.0,,2.0,1.0,1.0,No,No,,Not specified,,Gas,No,No,Yes,1150.0,180.0,No,1330.0,Apartment for rent,5.0,2.0,91.0,27.0,15.0,10.0,Yes,,Yes,No,Pearl Immo,,Good,,Yes,No,No,Yes,No,After signing the deed,9.0,,,1060,Saint-Gilles
,,3.0,2.0,2.0,No,No,,Not specified,,Gas,No,No,Yes,1700.0,25.0,No,1725.0,Ground floor for rent,3.0,,105.0,16.0,17.0,13.0,No,,Yes,No,Pearl Immo,,Good,,No,No,No,No,No,After signing the deed,,,,1060,Saint-Gilles
1.0,Installed,1.0,,1.0,,,378.0,G,76.0,Gas,,,Yes,950.0,150.0,No,1100.0,Apartment for rent,3.0,2.0,45.0,,,,,,Yes,,TJS GESTION SRL,1920.0,As new,,,,,Yes,,,,1.0,"Living area (residential, urban or rural)",1060,Saint-Gilles
4.0,USA installed,2.0,1.0,2.0,No,Yes,,Not specified,,,No,No,Yes,1300.0,130.0,No,1430.0,Duplex for rent,4.0,,,,14.0,10.0,,2.0,Yes,No,,,,Yes,No,No,No,Yes,No,,,,,1060,Saint-Gilles
,,3.0,1.0,2.0,,,,Not specified,,,,,,1450.0,50.0,No,1500.0,Duplex for rent,,,125.0,,,,,,,,Century 21 Atlas,,As new,,,,,,,,,,,1060,Saint-Gilles
6.0,,1.0,1.0,,,,,Not specified,,,,,,1380.0,,No,,Loft for rent,7.0,,100.0,,,,Yes,6.0,,,Century 21 Atlas,,As new,,,,,,,Immediately,,,,1060,Saint-Gilles
1.0,Hyper equipped,1.0,1.0,1.0,No,No,,Not specified,,,No,No,No,1195.0,,No,,Apartment for rent,,,90.0,,14.0,,,10.0,Yes,No,,1900.0,,,No,No,No,Yes,No,,,1.0,,1060,Saint-Gilles
1.0,Hyper equipped,3.0,2.0,3.0,,Yes,186.0,D,39.0,Gas,,,Yes,1650.0,100.0,No,1750.0,Duplex for rent,3.0,,180.0,90.0,25.0,12.0,No,5.0,Yes,Yes,JAM Properties,,Good,Yes,Yes,Yes,,,No,,,1.0,,1060,Saint-Gilles
2.0,Hyper equipped,3.0,1.0,1.0,No,No,,Not specified,,Electric,No,No,No,2500.0,,No,,Triplex for rent,2.0,1.0,110.0,,,,Yes,,No,No,,,As new,Yes,No,No,No,Yes,No,,,1.0,Urban,1060,Saint-Gilles
5.0,Hyper equipped,3.0,2.0,2.0,,Yes,288.0,F,57.0,Gas,,,Yes,1650.0,150.0,No,1800.0,Apartment for rent,5.0,2.0,110.0,30.0,15.0,10.0,No,8.0,Yes,,JAM Properties,1991.0,Good,Yes,Yes,Yes,,,No,,8.0,1.0,,1060,Saint-Gilles
2.0,USA hyper equipped,3.0,3.0,2.0,Yes,,159.0,D,31.0,Gas,,,Yes,2000.0,,No,,Triplex for rent,4.0,2.0,220.0,56.0,15.0,12.0,No,60.0,Yes,,Modifa Bruxelles,1989.0,As new,,,No,Yes,,,Immediately,10.0,,,1060,Saint-Gilles
3.0,,1.0,1.0,,,,,Not specified,,,,,,750.0,,No,,Apartment for rent,3.0,,55.0,,,,,,,,Century 21 Atlas,,To be done up,,,,,,,Immediately,,,,1060,Saint-Gilles
,,,,,No,No,,Not specified,,,No,No,No,560.0,160.0,No,720.0,Studio for rent,,1.0,,,,,Yes,,Yes,No,,,,,No,No,No,No,No,,,1.0,,1060,Saint-Gilles
2.0,,2.0,,2.0,No,No,,Not specified,,Gas,No,No,Yes,1600.0,,No,,Apartment for rent,2.0,2.0,120.0,,16.0,14.0,Yes,24.0,Yes,No,,,As new,,No,No,No,Yes,No,,,1.0,,1060,Saint-Gilles
3.0,Installed,1.0,,1.0,No,No,,Not specified,,Gas,No,No,Yes,800.0,160.0,No,960.0,Apartment for rent,3.0,2.0,60.0,40.0,60.0,,Yes,,Yes,No,,1870.0,As new,,No,No,No,Yes,No,Immediately,6.0,1.0,,1060,Saint-Gilles
,Semi equipped,1.0,,1.0,,,,Not specified,,,,,,700.0,160.0,No,860.0,Apartment for rent,,,40.0,19.0,9.0,,,,,,Century 21 Atlas,,Good,,,,,,,Immediately,10.0,1.0,,1060,Saint-Gilles
,USA hyper equipped,3.0,2.0,2.0,Yes,Yes,167.0,D,33.0,,,,Yes,2400.0,170.0,No,2570.0,Penthouse for rent,4.0,3.0,135.0,40.0,18.0,14.0,No,50.0,,Yes,You Real Estate,2004.0,As new,,Yes,,,,No,Depending on the tenant,16.0,1.0,Urban,1060,Saint-Gilles
2.0,Semi equipped,1.0,1.0,1.0,,,,Not specified,,Gas,,,Yes,750.0,50.0,No,800.0,Apartment for rent,3.0,,46.0,20.0,19.0,,,,Yes,,Century 21 Atlas,,Good,,,,,,,Depending on the tenant,4.0,1.0,,1060,Saint-Gilles
4.0,Hyper equipped,1.0,,1.0,,Yes,155.0,D,33.0,Gas,,,Yes,1125.0,275.0,No,1400.0,Studio for rent,5.0,2.0,48.0,,,,Yes,,Yes,,TJS GESTION SRL,2014.0,As new,Yes,Yes,,,Yes,,,,1.0,"Living area (residential, urban or rural)",1060,Saint-Gilles
,,2.0,1.0,3.0,,,214.0,E,42.0,,,,,1700.0,435.0,No,2135.0,Ground floor for rent,3.0,2.0,144.0,40.0,24.0,11.0,No,40.0,Yes,,TJS GESTION SRL,1920.0,As new,,,,,Yes,,Immediately,15.0,1.0,"Living area (residential, urban or rural)",1060,Saint-Gilles
2.0,Installed,4.0,2.0,6.0,No,No,143.0,C,28.0,Gas,No,No,Yes,2900.0,480.0,No,3380.0,Apartment for rent,6.0,,270.0,71.0,22.0,15.0,No,,No,Yes,Pearl Immo,,As new,,Yes,No,Yes,Yes,No,After signing the deed,,1.0,,1060,Saint-Gilles
2.0,USA hyper equipped,2.0,2.0,,No,No,287.0,F,57.0,Gas,No,No,No,1795.0,120.0,No,1915.0,Loft for rent,3.0,2.0,160.0,,,,,,No,No,,,,Yes,Yes,No,No,No,No,Immediately,,,Urban,1060,Saint-Gilles
,Semi equipped,1.0,1.0,2.0,Yes,,282.0,F,56.0,Gas,,,Yes,1250.0,220.0,No,1470.0,Ground floor for rent,6.0,2.0,90.0,35.0,15.0,,No,8.0,Yes,,TJS GESTION SRL,1930.0,As new,,Yes,,,Yes,,,10.0,,"Living area (residential, urban or rural)",1060,Saint-Gilles
1.0,,2.0,1.0,1.0,Yes,,,Not specified,,,,,Yes,1400.0,,No,,Apartment for rent,3.0,2.0,110.0,42.0,22.0,,No,,Yes,,Century 21 Atlas,,Good,,,,Yes,,,Immediately,26.0,1.0,,1060,Saint-Gilles
1.0,Hyper equipped,3.0,2.0,2.0,,,,Not specified,,,,,,1600.0,250.0,No,1850.0,Apartment for rent,,,100.0,,,,No,,,,Century 21 Atlas,,As new,,Yes,,,,,Immediately,,2.0,,1060,Saint-Gilles
1.0,Installed,1.0,1.0,1.0,No,No,,Not specified,,Gas,No,No,Yes,1190.0,50.0,No,1240.0,Apartment for rent,1.0,2.0,75.0,,,,,20.0,Yes,No,,,Just renovated,Yes,No,No,Yes,No,No,,,,Urban,1060,Saint-Gilles
3.0,,2.0,1.0,3.0,No,No,,Not specified,,Gas,No,No,Yes,2300.0,200.0,No,2500.0,Apartment for rent,6.0,,130.0,48.0,15.0,14.0,No,6.0,No,Yes,Pearl Immo,,Good,,Yes,No,No,Yes,No,After signing the deed,12.0,1.0,,1060,Saint-Gilles
,Installed,1.0,1.0,1.0,,,86.0,B,17.0,Gas,,,,900.0,130.0,No,1030.0,Apartment for rent,5.0,4.0,60.0,25.0,14.0,,No,49.0,Yes,Yes,Expertissimmo,2022.0,As new,Yes,Yes,Yes,,Yes,No,Immediately,4.0,1.0,Isolated,1200,Woluwe-Saint-Lambert
2.0,Installed,2.0,1.0,2.0,No,No,,Not specified,,Gas,No,No,No,1250.0,300.0,No,1550.0,Duplex for rent,2.0,1.0,120.0,20.0,,,Yes,,Yes,No,,,Good,,No,No,No,No,No,,20.0,,,1200,Woluwe-Saint-Lambert
2.0,Installed,1.0,1.0,1.0,No,No,,Not specified,,,No,No,No,975.0,65.0,No,1040.0,Apartment for rent,2.0,2.0,67.0,,,,,,Yes,No,,,Just renovated,Yes,No,No,No,Yes,No,To be defined,,,,1200,Woluwe-Saint-Lambert
2.0,Hyper equipped,2.0,1.0,1.0,No,,336.0,F,,Gas,,,,975.0,,No,,Apartment for rent,3.0,2.0,75.0,26.0,13.0,9.0,,2.0,Yes,,,,As new,Yes,,,,,,,,,"Living area (residential, urban or rural)",1200,Woluwe-Saint-Lambert
4.0,Installed,2.0,1.0,1.0,,,520.0,G,137.0,Gas,,,Yes,1295.0,50.0,No,1345.0,Apartment for rent,4.0,2.0,100.0,30.0,17.0,13.0,No,4.0,,,Grant Properties,,Just renovated,,Yes,,,,,,12.0,,"Living area (residential, urban or rural)",1200,Woluwe-Saint-Lambert
1.0,Hyper equipped,1.0,,1.0,,,,Not specified,,Gas,No,,Yes,990.0,,No,,Apartment for rent,,,66.0,,,,No,,,,Home Invest Belgium sa,,As new,Yes,Yes,,No,,No,,,1.0,,1200,Woluwe-Saint-Lambert
,,1.0,,1.0,,,538.0,G,108.0,Gas,,,Yes,845.0,45.0,No,890.0,Apartment for rent,3.0,,48.0,,10.0,,No,10.0,,,Grant Properties,,Just renovated,,,,,,,Immediately,,1.0,,1200,Woluwe-Saint-Lambert
1.0,Semi equipped,2.0,1.0,1.0,No,No,48.0,B,240.0,Gas,No,No,Yes,875.0,175.0,No,1050.0,Apartment for rent,3.0,2.0,80.0,25.0,13.0,9.0,,3.0,Yes,No,,,As new,,No,No,No,Yes,No,,11.0,,Urban,1200,Woluwe-Saint-Lambert
4.0,Semi equipped,2.0,1.0,1.0,,Yes,357.0,G,69.0,Gas,,,Yes,1080.0,300.0,No,1380.0,Apartment for rent,5.0,2.0,100.0,20.0,15.0,13.0,No,4.0,Yes,,ABITA IMMO,1990.0,As new,Yes,Yes,No,Yes,Yes,No,Depending on the tenant,9.0,1.0,Isolated,1200,Woluwe-Saint-Lambert
3.0,USA hyper equipped,1.0,,1.0,No,No,,Not specified,,Gas,No,No,Yes,900.0,,No,,Apartment for rent,3.0,2.0,50.0,,8.0,,,3.0,No,Yes,,1970.0,Just renovated,,No,No,No,Yes,No,Immediately,5.0,1.0,Landscape,1200,Woluwe-Saint-Lambert
1.0,USA hyper equipped,1.0,1.0,1.0,,,156.0,D,33.0,Gas,,,,950.0,150.0,No,1100.0,Apartment for rent,3.0,2.0,55.0,,12.0,,Yes,,,,ABITA IMMO,1950.0,As new,,No,No,,Yes,No,Depending on the tenant,,1.0,Isolated,1200,Woluwe-Saint-Lambert
3.0,USA hyper equipped,2.0,1.0,3.0,,,259.0,E,55.0,Gas,,,Yes,1380.0,15.0,No,1395.0,Apartment for rent,3.0,,105.0,,14.0,10.0,No,,,,Espace Immo Brussels EST,,,,,,,,,Immediately,,2.0,,1200,Woluwe-Saint-Lambert
,Hyper equipped,1.0,1.0,1.0,,Yes,200.0,D,50.0,Gas,,,Yes,850.0,250.0,No,1100.0,Studio for rent,4.0,,50.0,15.0,15.0,,Yes,,Yes,,ABITA IMMO,1960.0,As new,,No,No,,,No,Depending on the tenant,10.0,1.0,Isolated,1200,Woluwe-Saint-Lambert
8.0,Hyper equipped,3.0,,2.0,,,121.0,C,,Gas,No,,Yes,1900.0,,No,,Penthouse for rent,,,137.0,,,,No,75.0,,,Home Invest Belgium sa,,As new,Yes,Yes,,No,,No,,,1.0,,1200,Woluwe-Saint-Lambert
,Hyper equipped,4.0,,3.0,,,232.0,E,,Gas,No,,Yes,2100.0,,No,,House for rent,,,160.0,37.0,17.0,14.0,No,5.0,,,BE Estate,,As new,Yes,,,,,,,7.0,,,1200,Woluwe-Saint-Lambert
,Hyper equipped,5.0,5.0,3.0,Yes,,15.0,A,5.0,,,,Yes,2600.0,1.0,No,2601.0,House for rent,,3.0,300.0,50.0,25.0,16.0,No,30.0,Yes,Yes,BATHIM & CO L’IMMOBILIER SUR MESURE,2015.0,As new,,No,No,,Yes,No,Depending on the tenant,20.0,1.0,Isolated,1200,Woluwe-Saint-Lambert
4.0,USA hyper equipped,1.0,1.0,1.0,,,222.0,E,44.0,Gas,,,,1150.0,350.0,No,1500.0,Apartment for rent,5.0,,51.0,,13.0,,Yes,,,,BATHIM & CO L’IMMOBILIER SUR MESURE,2018.0,As new,,Yes,Yes,,,No,Depending on the tenant,,1.0,Urban,1200,Woluwe-Saint-Lambert
7.0,Hyper equipped,3.0,3.0,3.0,,,158.0,D,40.0,Gas,,,,3900.0,500.0,No,4400.0,Apartment for rent,9.0,2.0,249.0,,20.0,16.0,No,17.0,,,BATHIM & CO L’IMMOBILIER SUR MESURE,1960.0,Just renovated,,Yes,No,,,No,Depending on the tenant,,3.0,Urban,1200,Woluwe-Saint-Lambert
4.0,Hyper equipped,1.0,1.0,1.0,,,183.0,D,36.0,Gas,,,,1050.0,180.0,No,1230.0,Studio for rent,10.0,2.0,43.0,,12.0,,Yes,,,,BATHIM & CO L’IMMOBILIER SUR MESURE,1960.0,Just renovated,,Yes,No,,Yes,No,Immediately,,,Urban,1200,Woluwe-Saint-Lambert
1.0,Hyper equipped,1.0,1.0,1.0,,,310.0,F,64.0,Gas,,,Yes,1200.0,75.0,No,1275.0,Apartment for rent,3.0,2.0,70.0,12.0,15.0,,No,7.0,Yes,,ABITA IMMO,1960.0,As new,,No,No,,Yes,No,Immediately,10.0,1.0,Isolated,1200,Woluwe-Saint-Lambert
4.0,Semi equipped,2.0,1.0,1.0,,Yes,357.0,G,69.0,Gas,,,Yes,1080.0,300.0,No,1380.0,Apartment for rent,5.0,2.0,100.0,20.0,15.0,13.0,No,4.0,Yes,,ABITA IMMO,1990.0,As new,Yes,Yes,No,Yes,Yes,No,Depending on the tenant,9.0,1.0,Isolated,1200,Woluwe-Saint-Lambert
,USA hyper equipped,1.0,1.0,1.0,Yes,Yes,231.0,E,46.0,Fuel oil,,,Yes,945.0,125.0,No,1070.0,Ground floor for rent,7.0,2.0,55.0,,14.0,,Yes,,Yes,,BATHIM & CO L’IMMOBILIER SUR MESURE,1967.0,Just renovated,Yes,Yes,Yes,,Yes,No,Immediately,,1.0,Urban,1200,Woluwe-Saint-Lambert
2.0,Hyper equipped,2.0,,1.0,,,149.0,C,,Gas,No,,Yes,1100.0,,No,,Apartment for rent,,,78.0,,,,No,8.0,,,Home Invest Belgium sa,,As new,Yes,Yes,,No,,No,,,,,1200,Woluwe-Saint-Lambert
6.0,Hyper equipped,1.0,1.0,1.0,,,81.0,B,16.0,,,,,1500.0,75.0,No,1575.0,Apartment for rent,5.0,2.0,70.0,32.0,15.0,,Yes,,,,ABITA IMMO,2000.0,As new,,Yes,Yes,,,No,Depending on the tenant,,1.0,Isolated,1200,Woluwe-Saint-Lambert
2.0,Installed,1.0,1.0,1.0,No,,,Not specified,,Gas,,,Yes,735.0,,No,,Apartment for rent,3.0,2.0,45.0,17.0,12.0,,,2.0,Yes,,,,Just renovated,,,,,No,,Immediately,5.0,,Urban,1200,Woluwe-Saint-Lambert
1.0,,1.0,,1.0,No,No,,Not specified,,Gas,No,No,Yes,810.0,20.0,No,830.0,Apartment for rent,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,1200,Woluwe-Saint-Lambert
1.0,Installed,3.0,1.0,1.0,,,178.0,D,40.0,Fuel oil,,,Yes,1350.0,200.0,No,1550.0,Apartment for rent,6.0,2.0,120.0,40.0,17.0,12.0,No,8.0,,,Grant Properties,1960.0,,Yes,Yes,,,,,,14.0,,"Living area (residential, urban or rural)",1200,Woluwe-Saint-Lambert
6.0,Hyper equipped,2.0,1.0,1.0,Yes,,202.0,D,40.0,Gas,,,Yes,1500.0,250.0,No,1750.0,Apartment for rent,,,110.0,41.0,16.0,14.0,No,,,Yes,GREEN KEY,,,Yes,Yes,,,,,,14.0,1.0,,1200,Woluwe-Saint-Lambert
1.0,Hyper equipped,3.0,,2.0,,,86.0,B,,,No,,,2800.0,,No,,Duplex for rent,,,192.0,,,,No,,,,Home Invest Belgium sa,,Good,Yes,Yes,,No,,No,,,1.0,,1200,Woluwe-Saint-Lambert
2.0,USA installed,2.0,1.0,2.0,,,191.0,D,41.0,Gas,,,Yes,1350.0,50.0,No,1400.0,Apartment for rent,3.0,2.0,85.0,25.0,14.0,13.0,No,3.0,,,Grant Properties,,,,,,,,,,,1.0,Shop street,1200,Woluwe-Saint-Lambert
5.0,Hyper equipped,2.0,1.0,1.0,Yes,Yes,294.0,F,58.0,Gas,No,No,Yes,1290.0,250.0,No,1540.0,Apartment for rent,7.0,2.0,,19.0,16.0,12.0,,2.0,Yes,Yes,,1935.0,,,Yes,Yes,No,Yes,No,Immediately,10.0,,,1200,Woluwe-Saint-Lambert
7.0,Installed,3.0,1.0,2.0,,Yes,396.0,G,78.0,Gas,,,Yes,1500.0,250.0,No,1750.0,Apartment for rent,8.0,4.0,145.0,50.0,15.0,15.0,No,,,Yes,Espace Immo Brussels EST,,,Yes,Yes,,,,,To be defined,12.0,,,1200,Woluwe-Saint-Lambert
,,,,,,No,,Not specified,,,,,No,14000.0,2800.0,Yes,16800.0,Apartment block for rent,,,4845.0,,,,No,,No,No,RG Invest,,As new,,No,No,No,No,No,,,,,1200,Woluwe-Saint-Lambert
,,,,,,No,,Not specified,,,,,No,8026.0,1354.0,Yes,9380.0,Apartment block for rent,,,10409.0,,,,No,,No,No,RG Invest,,As new,,Yes,No,No,No,No,,,,,1200,Woluwe-Saint-Lambert
,USA hyper equipped,1.0,1.0,1.0,,,302.0,F,60.0,Gas,,,Yes,850.0,100.0,No,950.0,Studio for rent,3.0,,35.0,,10.0,,Yes,,Yes,,BATHIM & CO L’IMMOBILIER SUR MESURE,1930.0,As new,,Yes,No,,,No,Immediately,,,Urban,1200,Woluwe-Saint-Lambert
3.0,USA hyper equipped,2.0,2.0,2.0,,,255.0,E,51.0,Gas,,,,2470.0,150.0,No,2620.0,Apartment for rent,4.0,2.0,123.0,,20.0,11.0,No,,,Yes,BATHIM & CO L’IMMOBILIER SUR MESURE,,As new,,Yes,No,,,No,Depending on the tenant,,1.0,Urban,1200,Woluwe-Saint-Lambert
4.0,USA hyper equipped,2.0,2.0,2.0,,,255.0,E,51.0,Gas,,,,2580.0,150.0,No,2730.0,Penthouse for rent,4.0,2.0,122.0,,20.0,11.0,No,10.0,,Yes,BATHIM & CO L’IMMOBILIER SUR MESURE,,As new,,Yes,No,,,No,Depending on the tenant,,1.0,Urban,1200,Woluwe-Saint-Lambert
1.0,USA hyper equipped,2.0,1.0,1.0,,,308.0,F,61.0,Gas,,,Yes,1600.0,230.0,No,1830.0,Apartment for rent,4.0,2.0,85.0,,15.0,10.0,Yes,8.0,Yes,,BATHIM & CO L’IMMOBILIER SUR MESURE,,As new,,No,No,,,No,To be defined,,,Urban,1200,Woluwe-Saint-Lambert
6.0,,3.0,1.0,2.0,No,No,,Not specified,,Fuel oil,No,No,Yes,1300.0,150.0,No,1450.0,Apartment for rent,,2.0,110.0,,,,,3.0,Yes,No,,,,,Yes,No,No,No,No,,,,,1200,Woluwe-Saint-Lambert
2.0,Hyper equipped,2.0,,1.0,,,,Not specified,,Gas,,,Yes,1200.0,15.0,No,1215.0,Apartment for rent,3.0,,80.0,30.0,15.0,10.0,No,,,,Espace Immo Brussels EST,,,,,,,,,At delivery,10.0,1.0,,1200,Woluwe-Saint-Lambert
2.0,Hyper equipped,3.0,2.0,1.0,,,199.0,D,39.0,,,,,1850.0,115.0,No,1965.0,Apartment for rent,5.0,,111.0,,14.0,13.0,No,3.0,,,BATHIM & CO L’IMMOBILIER SUR MESURE,1925.0,As new,,,,,,,To be defined,,1.0,Urban,1200,Woluwe-Saint-Lambert
3.0,Hyper equipped,4.0,1.0,1.0,,,48.0,B,12.0,Gas,,,Yes,2390.0,300.0,No,2690.0,Penthouse for rent,3.0,,162.0,,16.0,14.0,Yes,53.0,Yes,,BATHIM & CO L’IMMOBILIER SUR MESURE,2022.0,As new,,Yes,Yes,,,No,To be defined,,1.0,"Living area (residential, urban or rural)",1200,Woluwe-Saint-Lambert
3.0,USA hyper equipped,3.0,2.0,2.0,,,78.0,B,23.0,Gas,,,,2390.0,300.0,No,2690.0,Apartment for rent,3.0,2.0,161.0,,17.0,11.0,Yes,30.0,,,ABITA IMMO,2022.0,As new,,Yes,Yes,,,No,At delivery,,2.0,Isolated,1200,Woluwe-Saint-Lambert
1.0,USA hyper equipped,2.0,1.0,1.0,,Yes,139.0,C,27.0,Gas,,,,1290.0,210.0,No,1500.0,Apartment for rent,5.0,2.0,100.0,,16.0,11.0,No,2.0,,,ABITA IMMO,1960.0,Just renovated,,No,No,Yes,Yes,No,Depending on the tenant,,1.0,Isolated,1200,Woluwe-Saint-Lambert
2.0,USA installed,1.0,1.0,1.0,,,270.0,E,52.0,Gas,,,,800.0,25.0,No,825.0,Apartment for rent,3.0,2.0,50.0,23.0,12.0,,No,,Yes,,Expertissimmo,1950.0,Just renovated,Yes,No,No,,Yes,No,Immediately,,1.0,"Living area (residential, urban or rural)",1200,Woluwe-Saint-Lambert
3.0,Hyper equipped,2.0,1.0,2.0,,Yes,114.0,C,24.0,Gas,,,Yes,1450.0,90.0,No,1540.0,Apartment for rent,4.0,2.0,108.0,24.0,15.0,14.0,,8.0,Yes,Yes,Immosenior sa,2011.0,As new,,Yes,Yes,Yes,Yes,,,9.0,1.0,"Living area (residential, urban or rural)",1200,Woluwe-Saint-Lambert
6.0,Installed,,,1.0,No,No,552.0,G,111.0,Gas,No,No,Yes,750.0,95.0,No,845.0,Studio for rent,6.0,,41.0,,,,,5.0,No,Yes,,,Just renovated,,Yes,No,No,No,No,,4.0,1.0,"Living area (residential, urban or rural)",1200,Woluwe-Saint-Lambert
9.0,Hyper equipped,3.0,1.0,1.0,,,102.0,C,28.0,Gas,,,Yes,1100.0,280.0,No,1380.0,Apartment for rent,12.0,2.0,100.0,30.0,14.0,11.0,No,20.0,Yes,Yes,TRIOR Woluwe,,Good,Yes,Yes,Yes,,Yes,No,Immediately,7.0,,Urban,1200,Woluwe-Saint-Lambert
3.0,Installed,2.0,1.0,2.0,,,170.0,D,34.0,,,,,1500.0,140.0,No,1640.0,Apartment for rent,4.0,3.0,90.0,30.0,14.0,12.0,No,14.0,,,Espace Immo Brussels EST,1989.0,,Yes,Yes,,,,,Immediately,16.0,1.0,,1200,Woluwe-Saint-Lambert
