Floor,Kitchen type,Bedrooms,Bathrooms,Toilets,Office,Armored door,Primary energy consumption,Energy class,CO₂ emission,Heating type,Heat pump,Thermic solar panels,Double glazing,Monthly rental price,Monthly costs,Tenement building,price,listing_type,Number of floors,Number of frontages,Living area,Living room surface,Bedroom 1 surface,Bedroom 2 surface,Furnished,Terrace surface,Intercom,Visio phone,agency,Construction year,Building condition,Basement,Elevator,Accessible for disabled people,Secure access / alarm,TV cable,Swimming pool,Available as of,Kitchen surface,Shower rooms,Surroundings type,Zip_Code,State_Name
3.0,Installed,3.0,1.0,2.0,,,200.0,D,,Gas,,,Yes,2300.0,500.0,No,2800.0,Apartment for rent,5.0,,266.0,120.0,17.0,17.0,No,35.0,,Yes,Realty Belgium,1850.0,Good,,Yes,,,,,Immediately,15.0,1.0,Urban,1190,Forest
1.0,,2.0,1.0,2.0,,,366.0,G,78.0,,,,Yes,1550.0,,No,,Duplex for rent,3.0,2.0,120.0,50.0,16.0,24.0,No,,Yes,,MYIMMO Altitude,,As new,Yes,,,,Yes,,Depending on the tenant,,,,1190,Forest
,,2.0,1.0,2.0,No,No,,Not specified,,Gas,No,No,No,1250.0,50.0,No,1300.0,Duplex for rent,,2.0,135.0,,,,No,16.0,,,,,,Yes,,,,,,,,1.0,,1190,Forest
3.0,,1.0,1.0,2.0,,,,Not specified,,,,,,1250.0,130.0,No,1380.0,Penthouse for rent,3.0,2.0,110.0,,20.0,,Yes,,,,Reo Real Estate Office,,As new,,,,,,,,,1.0,,1190,Forest
2.0,Installed,,,,,,105.0,C,21.0,Gas,,,,830.0,30.0,No,860.0,Studio for rent,4.0,2.0,,,,,No,18.0,Yes,,Immobilière Georges,1900.0,As new,Yes,,,,,,,,,,1190,Forest
1.0,USA semi equipped,2.0,2.0,1.0,Yes,,517.0,G,,Gas,,,Yes,1850.0,30.0,No,1880.0,Loft for rent,,,213.0,112.0,14.0,13.0,No,,Yes,,MYIMMO Altitude,,As new,,No,,,,,Depending on the tenant,,,,1190,Forest
1.0,Installed,1.0,1.0,1.0,,,211.0,D,42.0,,,,Yes,1400.0,225.0,No,1625.0,Apartment for rent,5.0,2.0,80.0,35.0,12.0,,Yes,2.0,Yes,,DLDproperties,1950.0,Good,,No,No,,Yes,,To be defined,6.0,1.0,Urban,1190,Forest
1.0,Semi equipped,1.0,1.0,1.0,Yes,No,,Not specified,,Gas,No,No,No,880.0,,No,,Apartment for rent,,2.0,80.0,,13.0,,,,Yes,No,,1912.0,,,No,No,No,Yes,No,,8.0,,,1190,Forest
,USA hyper equipped,2.0,1.0,1.0,,,211.0,D,45.0,Gas,,,Yes,1350.0,100.0,No,1450.0,Apartment for rent,4.0,,110.0,,15.0,10.0,,,Yes,Yes,Lambrecht Consult,2001.0,As new,Yes,Yes,Yes,,Yes,No,Depending on the tenant,,1.0,Urban,1190,Forest
9.0,USA hyper equipped,3.0,2.0,3.0,,Yes,,Not specified,,Gas,,,Yes,2350.0,350.0,No,2700.0,Apartment for rent,10.0,,170.0,45.0,16.0,14.0,No,,Yes,Yes,Lambrecht Consult,1992.0,As new,Yes,Yes,Yes,Yes,Yes,Yes,To be defined,,1.0,,1190,Forest
,USA hyper equipped,2.0,1.0,1.0,,,145.0,C,31.0,Gas,,,Yes,1550.0,30.0,No,1580.0,Ground floor for rent,3.0,2.0,115.0,35.0,18.0,14.0,No,35.0,Yes,,Property Lab,1915.0,As new,,No,No,,Yes,No,Depending on the tenant,9.0,1.0,,1190,Forest
,Hyper equipped,4.0,3.0,4.0,,Yes,306.0,F,61.0,Gas,,,Yes,3350.0,1.0,No,3351.0,House for rent,,2.0,275.0,35.0,25.0,20.0,No,25.0,Yes,Yes,Property Lab,1918.0,As new,Yes,No,No,Yes,Yes,No,Depending on the tenant,10.0,3.0,,1190,Forest
1.0,Hyper equipped,4.0,4.0,5.0,,Yes,219.0,E,46.0,Gas,,,Yes,3900.0,700.0,No,4600.0,Apartment for rent,2.0,,290.0,80.0,30.0,24.0,No,20.0,Yes,Yes,Lambrecht Consult,1988.0,As new,Yes,Yes,Yes,Yes,Yes,No,Immediately,,2.0,"Living area (residential, urban or rural)",1190,Forest
1.0,Semi equipped,3.0,1.0,1.0,No,No,175.0,D,37.0,Gas,No,No,Yes,1290.0,40.0,No,1330.0,Apartment for rent,3.0,3.0,117.0,,12.0,14.0,,6.0,Yes,No,,1960.0,Good,,No,No,No,No,No,,11.0,,"Living area (residential, urban or rural)",1190,Forest
3.0,Hyper equipped,2.0,1.0,2.0,,Yes,278.0,F,,Gas,,,Yes,1950.0,250.0,No,2200.0,Apartment for rent,5.0,2.0,100.0,,16.0,16.0,Yes,,Yes,Yes,Lambrecht Consult,1950.0,As new,Yes,Yes,Yes,,Yes,No,Immediately,,1.0,"Living area (residential, urban or rural)",1190,Forest
4.0,USA hyper equipped,3.0,2.0,3.0,Yes,Yes,558.0,G,88.0,Electric,,,Yes,3800.0,300.0,No,4100.0,Penthouse for rent,4.0,,160.0,60.0,15.0,12.0,Yes,,Yes,Yes,Lambrecht Consult,1984.0,As new,Yes,Yes,Yes,,,No,Immediately,,1.0,"Living area (residential, urban or rural)",1190,Forest
3.0,Installed,4.0,2.0,2.0,No,No,,Not specified,,Gas,No,No,Yes,2300.0,,No,,Triplex for rent,3.0,2.0,180.0,,18.0,25.0,,4.0,Yes,No,,1913.0,Just renovated,Yes,No,No,No,No,No,,12.0,,Urban,1190,Forest
3.0,Semi equipped,3.0,2.0,2.0,Yes,,263.0,E,30.0,Gas,,,,1450.0,275.0,No,1725.0,Apartment for rent,5.0,2.0,112.0,32.0,14.0,11.0,No,2.0,Yes,,DLDproperties,1960.0,Just renovated,Yes,Yes,No,,Yes,,To be defined,10.0,1.0,"Living area (residential, urban or rural)",1190,Forest
,Hyper equipped,5.0,3.0,3.0,Yes,Yes,205.0,D,41.0,Gas,,,Yes,3950.0,200.0,No,4150.0,Ground floor for rent,3.0,2.0,335.0,80.0,40.0,14.0,No,30.0,Yes,Yes,Lambrecht Consult,1910.0,As new,Yes,No,No,Yes,Yes,No,Immediately,12.0,1.0,"Living area (residential, urban or rural)",1190,Forest
2.0,Hyper equipped,2.0,2.0,2.0,,,239.0,E,51.0,Gas,,,Yes,2400.0,150.0,No,2550.0,Duplex for rent,3.0,2.0,170.0,50.0,18.0,15.0,No,15.0,Yes,Yes,Lambrecht Consult,1875.0,As new,Yes,Yes,No,Yes,Yes,No,Depending on the tenant,,1.0,"Living area (residential, urban or rural)",1190,Forest
2.0,Semi equipped,1.0,,1.0,Yes,No,,Not specified,,Gas,No,No,Yes,850.0,,No,,Apartment for rent,4.0,2.0,90.0,,,,,3.0,Yes,No,,,As new,,No,No,No,Yes,No,,,1.0,,1190,Forest
3.0,Hyper equipped,3.0,1.0,2.0,,Yes,184.0,D,55.0,Gas,,,Yes,1550.0,300.0,No,1850.0,Apartment for rent,6.0,,135.0,40.0,16.0,14.0,No,6.0,Yes,,Lambrecht Consult,1970.0,As new,Yes,Yes,Yes,,Yes,No,Immediately,12.0,1.0,"Living area (residential, urban or rural)",1190,Forest
3.0,,1.0,1.0,,No,No,,Not specified,,Electric,No,No,No,650.0,50.0,No,700.0,Apartment for rent,,2.0,60.0,,12.0,,Yes,,Yes,No,,,As new,,No,No,No,Yes,No,,,,,1190,Forest
2.0,Semi equipped,3.0,1.0,,No,No,,Not specified,,Gas,No,No,Yes,1290.0,60.0,No,1350.0,Triplex for rent,,2.0,,,,,,,,,,,Just renovated,,,,,,,Immediately,,,,1190,Forest
,USA hyper equipped,2.0,1.0,2.0,,Yes,,Not specified,,Gas,,,Yes,2100.0,400.0,No,2500.0,Duplex for rent,3.0,,160.0,100.0,50.0,30.0,Yes,25.0,Yes,Yes,Lambrecht Consult,1990.0,As new,,Yes,Yes,,Yes,No,Depending on the tenant,,1.0,Isolated,1190,Forest
1.0,USA hyper equipped,1.0,1.0,1.0,Yes,,142.0,C,,Gas,,,Yes,900.0,,No,,Duplex for rent,3.0,2.0,65.0,10.0,10.0,,,6.0,Yes,,MYIMMO Altitude,,Good,,No,No,,Yes,No,Immediately,,,,1190,Forest
6.0,USA hyper equipped,2.0,1.0,1.0,No,Yes,,Not specified,,Fuel oil,No,No,Yes,1250.0,150.0,No,1400.0,Apartment for rent,6.0,2.0,100.0,,15.0,15.0,,1.0,Yes,No,,,Good,,Yes,Yes,Yes,Yes,No,Immediately,,,Landscape,1190,Forest
2.0,,2.0,1.0,2.0,No,No,,Not specified,,Fuel oil,No,No,No,1200.0,150.0,No,1350.0,Apartment for rent,3.0,3.0,100.0,,,,,1.0,Yes,No,,,Good,Yes,No,No,No,Yes,No,,,1.0,,1190,Forest
3.0,Installed,1.0,1.0,1.0,,,,Not specified,,Gas,,,Yes,900.0,1.0,No,901.0,Apartment for rent,3.0,,40.0,20.0,16.0,,No,18.0,Yes,,Lambrecht Consult,1930.0,Good,,No,No,,Yes,No,Depending on the tenant,6.0,1.0,"Living area (residential, urban or rural)",1190,Forest
2.0,USA hyper equipped,1.0,1.0,1.0,,,,Not specified,,Gas,,,Yes,1400.0,300.0,No,1700.0,Apartment for rent,3.0,2.0,85.0,40.0,14.0,,Yes,,Yes,,DLDproperties,1915.0,Good,,No,No,,,,Immediately,25.0,1.0,Urban,1190,Forest
